From	To
6582	S22A2_HUMAN
84870	RSPO3_HUMAN
116988	AGAP3_HUMAN
116988	E7ESL9_HUMAN
116988	E9PAL8_HUMAN
116988	Q86ST5_HUMAN
116988	Q86XV5_HUMAN
51593	SRRT_HUMAN
64598	MSPD3_HUMAN
64409	GLTL3_HUMAN
64409	Q2L4S5_HUMAN
948	A4D1B1_HUMAN
948	B7Z6C3_HUMAN
948	CD36_HUMAN
948	D9IX66_HUMAN
948	D9IX69_HUMAN
948	E9PLT1_HUMAN
30010	NXPH1_HUMAN
30010	Q3LID8_HUMAN
9569	E9PFE2_HUMAN
9569	GT2D1_HUMAN
51657	STYL1_HUMAN
6469	SHH_HUMAN
340273	ABCB5_HUMAN
26136	A4D0U5_HUMAN
26136	TES_HUMAN
2791	GBG11_HUMAN
2791	Q53Y01_HUMAN
154661	RUN3B_HUMAN
10268	A4D2L1_HUMAN
10268	RAMP3_HUMAN
64983	A4D1V4_HUMAN
64983	RM32_HUMAN
64761	A4D1T0_HUMAN
64761	G5E9U9_HUMAN
64761	PAR12_HUMAN
54556	ING3_HUMAN
10467	ZNHI1_HUMAN
55698	RADIL_HUMAN
7589	ZSC21_HUMAN
115908	CTHR1_HUMAN
29942	PURG_HUMAN
51633	OTU6B_HUMAN
1015	B2R778_HUMAN
1015	CAD17_HUMAN
84549	MAK16_HUMAN
51305	KCNK9_HUMAN
66004	LYNX1_HUMAN
4017	LOXL2_HUMAN
23639	TILB_HUMAN
2857	GPR34_HUMAN
2857	Q5VT14_HUMAN
10395	A8K119_HUMAN
10395	RHG07_HUMAN
3620	I23O1_HUMAN
138050	HGNAT_HUMAN
138050	Q8IVU6_HUMAN
1670	DEF5_HUMAN
79792	A8K702_HUMAN
79792	GSDMD_HUMAN
9897	E7EQI7_HUMAN
9897	STRUM_HUMAN
23471	Q6FHL3_HUMAN
23471	TRAM1_HUMAN
55922	A3F768_HUMAN
55922	A3F769_HUMAN
55922	NKRF_HUMAN
27161	A4FVC0_HUMAN
27161	AGO2_HUMAN
8694	DGAT1_HUMAN
25769	NCKX2_HUMAN
84929	FBCD1_HUMAN
23081	B4E142_HUMAN
23081	B4E239_HUMAN
23081	B7Z3V6_HUMAN
23081	KDM4C_HUMAN
3641	INSL4_HUMAN
93380	MMGT1_HUMAN
25822	DNJB5_HUMAN
2790	GBG10_HUMAN
7111	TMOD1_HUMAN
1621	DOPO_HUMAN
22954	TRI32_HUMAN
29991	OBP2A_HUMAN
80010	RMI1_HUMAN
6872	TAF1_HUMAN
54461	FBXW5_HUMAN
9328	TF3C5_HUMAN
54881	TEX10_HUMAN
11224	RL35_HUMAN
318	AP4A_HUMAN
360	AQP3_HUMAN
92014	S2551_HUMAN
399665	F102A_HUMAN
81932	HDHD3_HUMAN
1306	B3KTP7_HUMAN
1306	COFA1_HUMAN
139599	MAGE2_HUMAN
132	ADK_HUMAN
8263	F8I2_HUMAN
201895	SIM14_HUMAN
25904	CNO10_HUMAN
2301	FOXE3_HUMAN
11156	TP4A3_HUMAN
79868	ALG13_HUMAN
1397	CRIP2_HUMAN
11261	CHP1_HUMAN
11261	H0YKE7_HUMAN
51451	LCMT1_HUMAN
441024	MTD2L_HUMAN
1469	CYTN_HUMAN
3188	HNRH2_HUMAN
2262	GPC5_HUMAN
4515	MTCP1_HUMAN
55729	B3KNI7_HUMAN
55729	B3KQF8_HUMAN
55729	F5GX74_HUMAN
